hsn,desc,rate,cat
8471,"Laptops, personal computers, and computing units",18,Electronics
8517,Mobile phones and telephone transmitters,12,Electronics
2517,"Portland cement, aluminous cement, and slag cement",28,Construction
0402,"Milk, cream, curd, and fresh dairy products",0,Food & Dairy
1001,"Wheat, meslin, rye, and standard wheat flour",0,Agriculture
2402,"Cigarettes, cigars, and manufactured tobacco products",28,Tobacco
8703,Passenger motor vehicles and hybrid cars,28,Automobiles
8704,Commercial motor vehicles and goods transports,18,Automobiles
9983,"Legal advisory, audit, and tax consulting services",18,Professional Services
9985,"IT consulting, database, and software support services",18,Professional Services
9954,"Contract construction, civil engineer services",12,Professional Services
0801,"Coconuts, cashew nuts, and almond kernels",5,Food & Dairy
3004,"Medicines, formulations, and pharmaceutical pills",12,Healthcare
3005,"Surgical bandages, adhesive medical tape, and devices",12,Healthcare
6101,"Readymade overcoats, jackets, and apparel items",12,Apparel
6109,Cotton knitted T-shirts and undergarments,5,Apparel
2710,"Petroleum crude oil, motor spirit, and diesel fuel",0,Fuel
2711,LPG liquefied petroleum gas for households,5,Fuel
8501,"Electric generators, dynamos, and solar motors",18,Electronics
8507,Lithium-ion batteries and EV battery accumulator packs,5,Electronics
